,Branch,Branch-more-noise,Branch-small-noise,Branch2,Branch2-more-noise,Branch2-small-noise,Null,One path,One path-more-noise,One path-small-noise,One path2,One path2-more-noise,One path2-small-noise,Two paths,Two paths-more-noise,Two paths-small-noise
Branch,0.0,2.5,0.8333333333333337,5.0,3.75,4.583333333333334,3.333333333333334,2.0,2.5,1.9469696969696981,6.0,3.916666666666666,5.265151515151516,3.0,3.1333333333333333,3.008658008658008
Branch-more-noise,2.5,0.0,1.6666666666666663,3.75,1.25,2.916666666666666,0.8333333333333339,3.75,0.3333333333333319,2.53030303030303,4.75,1.416666666666666,3.5303030303030303,2.5,0.8666666666666669,2.0108225108225115
Branch-small-noise,0.8333333333333337,1.6666666666666663,0.0,4.583333333333334,2.9166666666666665,3.7500000000000004,2.5,2.5833333333333344,1.6666666666666663,1.3636363636363642,5.583333333333333,3.0833333333333326,4.431818181818182,2.833333333333333,2.3,2.3506493506493498
Branch2,5.0,3.75,4.583333333333334,0.0,2.5,0.8333333333333335,3.333333333333334,6.0,3.916666666666666,5.265151515151516,2.0,2.5,1.9469696969696977,3.0,3.1333333333333333,3.008658008658008
Branch2-more-noise,3.75,1.25,2.9166666666666665,2.5,0.0,1.6666666666666663,0.8333333333333339,4.75,1.416666666666666,3.5303030303030307,3.75,0.3333333333333319,2.5303030303030303,2.5,0.8666666666666669,2.0108225108225115
Branch2-small-noise,4.583333333333334,2.916666666666666,3.7500000000000004,0.8333333333333335,1.6666666666666663,0.0,2.4999999999999996,5.583333333333332,3.083333333333332,4.4318181818181825,2.5833333333333335,1.666666666666666,1.3636363636363642,2.833333333333333,2.2999999999999994,2.3506493506493493
Null,3.333333333333334,0.8333333333333339,2.5,3.333333333333334,0.8333333333333339,2.4999999999999996,0.0,4.333333333333334,0.9166666666666659,3.113636363636364,4.333333333333334,0.9166666666666657,3.1136363636363638,2.666666666666668,0.8000000000000029,2.1298701298701315
One path,2.0,3.75,2.5833333333333344,6.0,4.75,5.583333333333332,4.333333333333334,0.0,3.416666666666668,1.2196969696969697,6.0,4.75,5.583333333333332,3.0,3.933333333333333,3.2683982683982684
One path-more-noise,2.5,0.3333333333333319,1.6666666666666663,3.916666666666666,1.416666666666666,3.083333333333332,0.9166666666666659,3.416666666666668,0.0,2.1969696969696986,4.75,1.416666666666666,3.5303030303030303,2.166666666666668,0.8333333333333328,1.6807359307359315
One path-small-noise,1.9469696969696981,2.53030303030303,1.3636363636363642,5.265151515151516,3.5303030303030307,4.4318181818181825,3.113636363636364,1.2196969696969697,2.1969696969696986,0.0,5.583333333333332,3.5303030303030303,4.431818181818182,2.583333333333333,2.7136363636363634,2.318181818181818
One path2,6.0,4.75,5.583333333333333,2.0,3.75,2.5833333333333335,4.333333333333334,6.0,4.75,5.583333333333332,0.0,3.416666666666668,1.2196969696969693,3.0,3.9333333333333336,3.2683982683982684
One path2-more-noise,3.916666666666666,1.416666666666666,3.0833333333333326,2.5,0.3333333333333319,1.666666666666666,0.9166666666666657,4.75,1.416666666666666,3.5303030303030303,3.416666666666668,0.0,2.196969696969698,2.166666666666668,0.833333333333333,1.6807359307359317
One path2-small-noise,5.265151515151516,3.5303030303030303,4.431818181818182,1.9469696969696977,2.5303030303030303,1.3636363636363642,3.1136363636363638,5.583333333333332,3.5303030303030303,4.431818181818182,1.2196969696969693,2.196969696969698,0.0,2.583333333333333,2.713636363636364,2.3181818181818175
Two paths,3.0,2.5,2.833333333333333,3.0,2.5,2.833333333333333,2.666666666666668,3.0,2.166666666666668,2.583333333333333,3.0,2.166666666666668,2.583333333333333,0.0,1.8666666666666651,0.5367965367965364
Two paths-more-noise,3.1333333333333333,0.8666666666666669,2.3,3.1333333333333333,0.8666666666666669,2.2999999999999994,0.8000000000000029,3.933333333333333,0.8333333333333328,2.7136363636363634,3.9333333333333336,0.833333333333333,2.713636363636364,1.8666666666666651,0.0,1.3298701298701285
Two paths-small-noise,3.008658008658008,2.0108225108225115,2.3506493506493498,3.008658008658008,2.0108225108225115,2.3506493506493493,2.1298701298701315,3.2683982683982684,1.6807359307359315,2.318181818181818,3.2683982683982684,1.6807359307359317,2.3181818181818175,0.5367965367965364,1.3298701298701285,0.0
